county_state,fips,sex,sex_code,year,cause_of_death,cod_code,place_of_death,place_of_death_code,deaths,median_income,population,poverty_rate,unemployment_rate,facility_count,overdose_rate,facility_rate
"Butte County, CA",06007,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,11.0,67928,207929,19.2,7.5,8.0,5.2902673508745774,3.8474671642724196
"Butte County, CA",06007,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,10.0,67928,207929,19.2,7.5,8.0,4.809333955340525,3.8474671642724196
"Contra Costa County, CA",06013,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,13.0,127229,1165012,8.4,6.5,18.0,1.1158683344034224,1.5450484630201233
"Contra Costa County, CA",06013,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,20.0,127229,1165012,8.4,6.5,18.0,1.7167205144668038,1.5450484630201233
"Contra Costa County, CA",06013,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,17.0,127229,1165012,8.4,6.5,18.0,1.4592124372967832,1.5450484630201233
"Contra Costa County, CA",06013,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,27.0,127229,1165012,8.4,6.5,18.0,2.317572694530185,1.5450484630201233
"Contra Costa County, CA",06013,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,18.0,127229,1165012,8.4,6.5,18.0,1.5450484630201233,1.5450484630201233
"Contra Costa County, CA",06013,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,32.0,127229,1165012,8.4,6.5,18.0,2.746752823146886,1.5450484630201233
"Contra Costa County, CA",06013,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,25.0,127229,1165012,8.4,6.5,18.0,2.145900643083505,1.5450484630201233
"Fresno County, CA",06019,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Outpatient or ER,2.0,13.0,74201,1016725,18.3,8.7,8.0,1.2786151614251642,0.7868400993385625
