"Notes","County","County Code","Sex","Sex Code","Year","Year Code","Cause of death","Cause of death Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Outpatient or ER","2",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",140,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",153,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Inpatient","1",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",116,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",146,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",278,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Navajo County, AZ","04017","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
